"content","time"
"老实人不懂梗？ https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","2/11/2018 01:41:21"
"我就看到好多吧友在那里笑，我眼泪都在肚子里我是笑不出来","8/11/2018 06:37:37"
"希望大家都能能章口就莱，一千个中国人只说一种话","8/11/2018 09:22:56"
"我怎么可能说我是唯一、我是正宗？是个人能那样讲吗？","13/11/2018 07:58:26"
"回去问你父母 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon16.png","13/11/2018 11:46:46"
"哈哈哈","13/11/2018 11:47:17"
"回复 却把青梅嗅i🍀 :我希望一千个人心中只有我一个美猴王 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","13/11/2018 17:47:12"
"我只会穿金猴皮鞋，吃营养钙面，玩大圣轮回 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","14/11/2018 06:04:53"
"还有吧友在那里笑，我告诉你我笑不出来！我的眼泪都在肚子里！","15/11/2018 09:32:24"
"不好好练签字哈什么哈 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon16.png","15/11/2018 10:33:47"
"六小龄童少了她真能清净不少","19/11/2018 10:13:57"
"回复 遇见你喜悦 :她说话不动脑子的。她还以为说闫怀礼老师死的不是时候，杨姐自传另有隐情（但她就是不说）能给六带来什么好名声呢","19/11/2018 10:18:19"
"https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png","20/11/2018 14:08:36"
"申请了三四次，一直没有成功","23/11/2018 05:50:36"
"你别看我聊着聊着好像不在乎这个，我是非常在乎这个！所以我就觉得很不理解，很委屈，那么你完全是对我人格的一种曲解，不应该是这样。","29/11/2018 11:45:59"
"回复 却把青梅嗅i🍀 : https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon25.png https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon48.png","30/11/2018 03:53:46"
"我很不理解，很委屈，你完全是对我人格的一种曲解，不应该是这样","1/12/2018 15:22:52"
"这个好","3/12/2018 07:25:56"
"楼主已经说过了","4/12/2018 01:59:39"
"你这是要给全国人民谢罪的","4/12/2018 11:56:35"
"@恶魔城狂迷","5/12/2018 04:40:55"
"你如果说这个问题，我觉得没什么奇怪的，那个贴吧的吧规你看一下，本来就不欢迎不喜欢六小龄童的吧友去，不喜欢，去那里干嘛？相互之间对骂也没意思……那个回帖，充满了怨念，很多人并不能冷静的分析问题，而且每个人看问题角度不一样，吧务也是认为再争论下去没什么用，所以才删。","5/12/2018 14:17:56"
"回复 恶魔城狂迷 :诶诶诶，回答正规事儿。那是我小号","5/12/2018 14:19:15"
"有人说给六小龄童起名“章程恩”，我很反感……不喜欢，不能客观发帖就别去那里，有些人发帖就是为了发泄","5/12/2018 14:19:54"
"回复 恶魔城狂迷 :客观的不知道被删了多少了。别提这个了行么？他们杯弓蛇影可以谅解。你不是要反驳么？，开始吧。","5/12/2018 14:21:25"
"回复 郭德缸扣潘长💦 :嗯你说的这件事我还真没听过，我会仔细看的，没经过调查研究，就没有发言权，如果一些事情在我没有经过仔细调查的话，我是不会轻易反驳的","5/12/2018 14:28:17"
"回复 恶魔城狂迷 :你是指哪一件啊？另一件呢？","5/12/2018 14:29:19"
"关于你说的这楼，我没什么好反驳的，我曾经也大张旗鼓的宣传一些自己的作品，但是因为我能力不足准备太少，一年了仍然没有多少进度，我很理解你说的话，在这点上，我只能说，确实是六小龄童准备不足，电影宣传了好多年，终究是雷声大雨点小","5/12/2018 14:32:07"
"回复 恶魔城狂迷 :还有呢。等你一件件的反驳呢。提出两个。先等着你啊","5/12/2018 14:32:18"
"回复 恶魔城狂迷 :那你认为这样的场合合适宣传么？而且自己还说导演是他人生以及艺术上的导师。合适么？六老成年了吧？","5/12/2018 14:34:38"
"@恶魔城狂迷","5/12/2018 14:37:15"
"@恶魔城狂迷","5/12/2018 14:39:35"
"文化广场没听说过。也许在吴承恩广场之前。但是，这个六小龄童广场却是实实在在的由吴承恩广场被替换来的。请你不要避重就轻","5/12/2018 14:45:36"
"我没有提故居这件事，请对这件事正面反驳。","5/12/2018 14:46:42"
"有意思么？朋友，我跟你在讲广场的事情，而你却一再往故居上转移话题。别着急，你想聊故居一会聊。先说我这个广场问题可以么？","5/12/2018 14:48:23"
"但是，我对“章承恩”这个名字，仍然反感，这个名字始终是带歧意的，就好像日本人在抗日战争时期说我们“zhi那人”一样，虽然也是一种称呼，但是充满了讽刺与侮辱","5/12/2018 14:48:53"
"回复 恶魔城狂迷 :您觉得六老师尊重吴承恩么？","5/12/2018 14:49:49"
"你看，我没问你电影，也没问你六老师双不双标。你就给我解释一个手游，这里面六老师说的西游文化是什么就可以了。","5/12/2018 14:56:53"
"回复 郭德缸扣潘长💦 :我刚才是在查的，你搜索“吴承恩故居广场被命名“六小龄童广场”，我看的就是某篇文章，我认为你说的就是这个事情吧。我查资料一般都看一些中立的资料，有个人感情倾向的文章我不会深入去看。","5/12/2018 15:00:31"
"回复 郭德缸扣潘长💦 :这个没法断定，我不可能知道他心里想的什么，但是，他演过吴承恩，别人没演过，我觉得如果他讨厌吴承恩，他也不会主动演这个角色，毕竟演过吴承恩的人只有他","5/12/2018 15:02:11"
