"content","time"
"听起来好厉害，要把全副家产都先给社长吗？","19/10/2015 04:12:41"
"朋友好！","19/10/2015 04:48:48"
"回复 wjqsmxhh :朋友若有心，可自觉！","19/10/2015 05:10:36"
"谢朋友支持！","20/10/2015 01:55:12"
"你若不恶意乱咬人，你若不造谣诋毁中伤我，便活下去吗？若你如此，我既会同情你，又会为你感到悲哀！问问你自己的良心和灵魂，你已失去了做人之起码道德良知，你还算是人吗？不多谈！","20/10/2015 02:47:01"
"说的你好像征服多少女人一样，空口说白话，教人俘获女人的芳心？自己还是老处男呢！","20/10/2015 03:55:26"
"回复 牧狼人云杰 ：我就问你，这些算不算抄袭!你就这么回答我?我只不过想知道你心中抄袭的原则是什么","20/10/2015 04:44:38"
"回复 牧狼人云杰 ：你用这些古语便称为引用。别人说过一句什么做个好人才最重要。你就喊着抄袭。这就是你的原则?","20/10/2015 04:46:40"
"回复 牧狼人云杰 ：君子周而不比，小人比而不周是你原创吗？你可以随便抄袭，什么木秀于林风必催之！都是你原创？？？？别人说了一句很平常的话而你凑巧说过就是抄袭？虚伪与无知","20/10/2015 07:08:23"
"回复 牧狼人云杰 ：操你妈逼，你这个啃老的废物贱货，臭不要脸恬不知耻的狗东西，脏话骂你怎么了？你尊重我，我谢谢你。但你这种无限食言的狗玩意儿不值得我尊重你，懂吗？","20/10/2015 07:09:33"
"回复 蔚的脑残粉 ：他的处男之身是给了婊子。","20/10/2015 07:11:03"
"回复 3fvy58 ：伪君子真令人作呕","20/10/2015 08:27:09"
"嗨，你也在这里吗？","21/10/2015 03:33:29"
"最后你醒了，发现雨水打湿了你的身子！张杰心里一个抽搐，想道 我早上朦胧间感觉太阳照进来了，这会子怎么就下雨了？待我天晴了必然修修这破屋子！张杰像寒号鸟一样用他那脏臭的被子裹住身子又睡了","21/10/2015 06:28:04"
"回复 蔚的脑残粉 :hahahahaha","21/10/2015 06:32:46"
"回复 蔚的脑残粉 :有吧友@我来的 https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon7.png","21/10/2015 11:02:33"
"回复 丹竹江 :我感觉你有些才学，为了中华伟大复兴，为了人类社会和自然世界真正美好，助我起势！","21/10/2015 11:13:54"
"然而24君依然看清你的嘴脸","21/10/2015 16:10:41"
